
=== RUN 2026-09-18T16:40:36.346890 seed=42 pop=80 elite=10 mut_rate=0.15 sigma=0.25 crossover=0.5 gens=5000 ===

MILESTONE gen 1: FIRST BIRD SURVIVES 100+ FRAMES
MILESTONE gen 1: FIRST PIPE PASSED
2026-09-18T16:40:41.357842 gen=61 best=205.0 avg=61.6 score=1 alive=105 dt=0.08s
2026-09-18T16:40:41.448866 gen=62 best=206.0 avg=58.1 score=1 alive=106 dt=0.08s
2026-09-18T16:40:41.545142 gen=63 best=315.0 avg=59.0 score=2 alive=115 dt=0.08s
2026-09-18T16:40:41.633359 gen=64 best=202.0 avg=58.5 score=1 alive=102 dt=0.08s
2026-09-18T16:40:41.724195 gen=65 best=206.0 avg=63.0 score=1 alive=106 dt=0.08s
2026-09-18T16:40:41.815244 gen=66 best=206.0 avg=61.6 score=1 alive=106 dt=0.08s
2026-09-18T16:40:41.904299 gen=67 best=203.0 avg=57.9 score=1 alive=103 dt=0.08s
2026-09-18T16:40:42.024389 gen=68 best=347.0 avg=60.8 score=2 alive=147 dt=0.11s
2026-09-18T16:40:42.081224 gen=69 best=61.0 avg=56.0 score=0 alive=61 dt=0.04s
2026-09-18T16:40:42.236639 gen=70 best=496.0 avg=66.9 score=3 alive=196 dt=0.14s
2026-09-18T16:40:42.323539 gen=71 best=201.0 avg=57.8 score=1 alive=101 dt=0.07s
2026-09-18T16:40:42.511999 gen=72 best=641.0 avg=62.9 score=4 alive=241 dt=0.18s
2026-09-18T16:40:42.601163 gen=73 best=206.0 avg=60.1 score=1 alive=106 dt=0.08s
2026-09-18T16:40:42.658057 gen=74 best=61.0 avg=56.1 score=0 alive=61 dt=0.04s
2026-09-18T16:40:42.776164 gen=75 best=346.0 avg=63.0 score=2 alive=146 dt=0.11s
2026-09-18T16:40:42.864341 gen=76 best=205.0 avg=64.9 score=1 alive=105 dt=0.08s
2026-09-18T16:40:42.956846 gen=77 best=205.0 avg=57.6 score=1 alive=105 dt=0.08s
2026-09-18T16:40:43.075176 gen=78 best=347.0 avg=65.3 score=2 alive=147 dt=0.11s
2026-09-18T16:40:43.167026 gen=79 best=206.0 avg=60.3 score=1 alive=106 dt=0.08s
2026-09-18T16:40:43.286879 gen=80 best=346.0 avg=67.4 score=2 alive=146 dt=0.11s
2026-09-18T16:40:43.408534 gen=81 best=350.0 avg=61.3 score=2 alive=150 dt=0.11s
2026-09-18T16:40:43.465998 gen=82 best=61.0 avg=55.9 score=0 alive=61 dt=0.04s
2026-09-18T16:40:43.551927 gen=83 best=201.0 avg=57.8 score=1 alive=101 dt=0.07s
2026-09-18T16:40:43.639093 gen=84 best=205.0 avg=61.8 score=1 alive=105 dt=0.07s
2026-09-18T16:40:43.757591 gen=85 best=346.0 avg=63.8 score=2 alive=146 dt=0.11s
2026-09-18T16:40:43.875970 gen=86 best=346.0 avg=61.4 score=2 alive=146 dt=0.11s
2026-09-18T16:40:43.964641 gen=87 best=204.0 avg=59.9 score=1 alive=104 dt=0.08s
2026-09-18T16:40:44.052269 gen=88 best=204.0 avg=62.5 score=1 alive=104 dt=0.07s
2026-09-18T16:40:44.142761 gen=89 best=206.0 avg=58.2 score=1 alive=106 dt=0.08s
2026-09-18T16:40:44.228581 gen=90 best=201.0 avg=61.6 score=1 alive=101 dt=0.07s
2026-09-18T16:40:44.315722 gen=91 best=201.0 avg=58.2 score=1 alive=101 dt=0.07s
2026-09-18T16:40:44.405735 gen=92 best=205.0 avg=58.3 score=1 alive=105 dt=0.08s
2026-09-18T16:40:44.496366 gen=93 best=206.0 avg=58.5 score=1 alive=106 dt=0.08s
2026-09-18T16:40:44.586640 gen=94 best=206.0 avg=62.0 score=1 alive=106 dt=0.08s
2026-09-18T16:40:44.674987 gen=95 best=206.0 avg=63.9 score=1 alive=106 dt=0.08s
2026-09-18T16:40:44.763190 gen=96 best=205.0 avg=65.2 score=1 alive=105 dt=0.08s
